#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
2375000 +19 105556
5750000 +16 91270
6710000 +27 117719
2500000 +16 111111
4525000 +29 94271
3950000 +14 112857
3375000 +21 112500
3600000 +14 73469
2740000 +14 101481
6820000 +24 124000
4600000 +2 90196
8050000 +15 115000
8900000 +28 156140
4625000 +23 132143
3760000 +28 113939
12800000 +23 143820
10730000 +11 87592
5700000 +27 111765
3200000 +10 123077
3165000 +19 117222
4300000 +27 102381
3875000 +29 113971
8175000 +27 100926
7550000 +21 112687
3950000 +13 74528
6210000 +28 108000
9850000 +13 100510
3900000 +12 116418
4300000 +20 113158
6900000 +20 125455
7400000 +14 117460
6100000 +25 101667
3850000 +17 95062
25500000 +11 156442
4325000 +12 102976
4925000 +23 117262
6425000 +29 131122
3770000 +20 99211
6000000 ±0 100000
4075000 +17 110135
18500000 +37 137037
3825000 +24 100658
9600000 +10 97959
4150000 +22 88298
7550000 +3 114394
8900000 +27 125352
6000000 +9 96774
4250000 +12 111842
5000000 +9 109890
2585000 +30 143611
