#The file contains the sold price (sp), percentage difference to asking price (%ac) and price per square meter (psm) in SEK of apartments on Kungsholmen 
# sp %ac  psm 
19000000 -4 131944
4030000 NaN 89556
8300000 +5 81373
2615000 -5 100577
9725000 -5 94509
2400000 +20 120000
3050000 +11 87143
11800000 +8 149367
8500000 ±0 89474
3875000 +2 99359
2300000 NaN 125000
3870000 +6 90000
6410000 +7 94265
3100000 +4 82667
9600000 +1 88073
7550000 -4 78238
3250000 NaN 81250
5570000 +7 103148
9800000 +3 113953
2380000 NaN 99167
3000000 +4 111111
11325000 +17 133235
4300000 +3 85149
3950000 +7 90805
7495000 -5 82363
3720000 +14 88571
3670000 +5 101944
2875000 -4 79861
2930000 +7 83714
3650000 +3 74490
2225000 +6 101136
4812500 -1 80208
3000000 +20 120000
7100000 +2 100000
5600000 +13 105660
7700000 -4 98718
3000000 +4 90909
2750000 +4 98214
5020000 +5 77231
4900000 +17 106522
13050000 +1 104400
2550000 +2 106250
7050000 +9 111905
4420000 +11 107805
4230000 +1 100714
3110000 +11 90145
3680000 +23 118710
9250000 -5 85648
6800000 +5 86076
4025000 +5 100625
